Temporada,Date,Time,Form,Location,User,Pass?,Country Origen / Pais de Origen,Production Area / Zona de Producción,Continente,Is it an Emergent Market? / Es Mercado Emergente?,# Inspection / Número de Inspección,Harvest Data / Fecha de Cosecha,Variety / Variedad,Harvest Interval/Dias de Reingreso,Country / Pais,Pre-Inspection Disposition / Disposición de la Inspección Previa,Pallet Count / Cajas por Tarima,Count Clamshell/ # Clamshell's,Clamshell weight / Peso del canasto,Were the weights recorded? / ¿Los pesos fueron registrados?,Average Clamshell weight / Peso promedio del canasto,# Clamshell with Compliance / Canastos en Conformidad,# Clamshell Underweight / Canastos con Bajo Peso,Clamshell Low weight / Canasto con menor peso,Basket Count / Conteo por Canasto,Average Basket Count / Conteo Promedio por Canasto,Total Fruit Inspected / Total de Fruta Inspeccionada,# Sample Brix / # Muestras Brix,Brix1,Brix2,Brix3,Brix4,Brix5,# Sample Acidity / # Muestras Acidez,Acidity / Acidez 1,Acidity / Acidez 2,Acidity / Acidez 3,Acidity / Acidez 4,Acidity / Acidez 5, Semana Inspeccion,Brix6,Brix7,Acidity / Acidez 6,Acidity / Acidez 7,Brix8,Brix9,Brix10,Acidity / Acidez 8,Acidity / Acidez 9,Has it been approved? / ¿Ha sido Aprobado?2,Fecha de Cosecha,PRODUCTION AREA,Lote,Empresa,Production Area,Ha,FUNDO CODE,SKU Code,Fruit Type
2022-2023,2/7/2024,16:20,Formulario Registro Inspeccion Uva,Pisco,Gloria A.,False,Perú,Pisco,ASIA CENTRO,Yes / Si,First Inspection,1091391:18:00,VERDEJO,6,HongKong,Pass_Pasar,240,8,145,Yes / Si,142.5,7,1,140.0,51,49.5,396,1,11.1,,,,,1,1.17,,,,,2427,,,,,,,,,,,1/7/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9099,Generica
2022-2023,2/7/2024,16:55,Formulario Registro Inspeccion Uva,Pisco,Guadalupe,False,Perú,Pisco,ASIA CENTRO,No,First Inspection,1091416:42:00,VERDEJO,7,,Pass_Pasar,240,8,147,Yes / Si,143.5,0,0,,36,36,288,1,11.8,,,,,1,0.77,,,,,2427,,,,,,,,,,,2/7/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9100,Generica
2022-2023,2/7/2024,17:12,Formulario Registro Inspeccion Uva,Pisco,Guadalupe,False,Perú,Pisco,ASIA CENTRO,No,First Inspection,1091417:04:00,VERDEJO,,,Pass_Pasar,137,6,147,Yes / Si,143.5,0,0,,36,35.5,213,1,10.3,,,,,1,0.96,,,,,2427,,,,,,,,,,,2/7/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9100,Generica
2022-2023,2/7/2024,17:28,Formulario Registro Inspeccion Uva,Pisco,Guadalupe,False,Perú,Pisco,ASIA CENTRO,No,First Inspection,1091417:15:00,VERDEJO,7,,Pass_Pasar,60,3,148,Yes / Si,146,0,0,,37,37,111,1,12.1,,,,,0,,,,,,2427,,,,,,,,,,,2/7/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9100,Generica
2022-2023,2/7/2024,19:24,Formulario Registro Inspeccion Uva,Pisco,Guadalupe,False,Perú,Pisco,ASIA CENTRO,No,First Inspection,1091419:14:00,VERDEJO,7,,Pass_Pasar,60,3,145,Yes / Si,143,0,0,,36,36,108,1,11.5,,,,,0,,,,,,2427,,,,,,,,,,,2/7/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9100,Generica
2022-2023,2/7/2024,19:32,Formulario Registro Inspeccion Uva,Pisco,Guadalupe,False,Perú,Pisco,ASIA CENTRO,No,First Inspection,1091419:26:00,VERDEJO,7,,Pass_Pasar,60,3,148,Yes / Si,145,0,0,,36,36,108,1,11.1,,,,,0,,,,,,2427,,,,,,,,,,,2/7/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9100,Generica
2022-2023,5/7/2024,14:22,Formulario Registro Inspeccion Uva,Ica,Guadalupe,False,Perú,Ica,ASIA CENTRO,No,First Inspection,1091459:50:00,VERDEJO,7,,Pass_Pasar,390,16,149,Yes / Si,144.1875,16,0,,36,35.5,568,1,11.5,,,,,1,0.81,,,,,2427,,,,,,,,,,,4/7/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9100,Generica
2022-2023,5/7/2024,16:46,Formulario Registro Inspeccion Uva,Pisco,Gloria A.,False,Perú,Pisco,ASIA CENTRO,Yes / Si,First Inspection,1091459:49:00,VERDEJO,7,HongKong,Pass_Pasar,390,16,147,Yes / Si,142.625,15,1,139.0,49,48,768,1,10.8,,,,,1,1.02,,,,,2427,,,,,,,,,,,4/7/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9099,Generica
2022-2023,5/7/2024,16:42,Formulario Registro Inspeccion Uva,Pisco,Gloria A.,True,Perú,Pisco,ASIA CENTRO,Yes / Si,First Inspection,1091460:36:00,VERDEJO,7,HongKong,Pass_Pasar,102,8,148,Yes / Si,144.25,7,1,139.0,37,35,280,1,11.5,,,,,1,0.8,,,,,2427,,,,,,,,,,,4/7/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9100,Generica
2022-2023,5/7/2024,16:48,Formulario Registro Inspeccion Uva,Ica,Guadalupe,True,Perú,Ica,ASIA NORTE,,First Inspection,1091460:30:00,VERDEJO,7,,Pass_Pasar,390,14,146,Yes / Si,143.071429,13,1,138,40,39,546,1,11.7,,,,,1,0.83,,,,,2427,,,,,,,,,,,4/7/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9103,Generica
2022-2023,8/7/2024,15:53,Formulario Registro Inspeccion Uva,Pisco,Guadalupe,False,Perú,Pisco,ASIA NORTE,,First Inspection,1091488:18:00,MERLOT,7,,Pass_Pasar,100,6,151,Yes / Si,146.333333,6,0,,34,33.5,201,1,13.6,,,,,1,1.12,,,,,2428,,,,,,,,,,,5/7/2024,Ica,Lote 24,Andenes de Andrea,Ica,151.43,87007,9103,Generica
2022-2023,8/7/2024,16:00,Formulario Registro Inspeccion Uva,Ica,Guadalupe,False,Perú,Ica,ASIA NORTE,,First Inspection,1091463:06:00,VERDEJO,10,,Pass_Pasar,390,16,153,Yes / Si,147.0625,16,0,,29,28.5,456,1,11.3,,,,,0,,,,,,2428,,,,,,,,,,,4/7/2024,Ica,Lote 26,Andenes de Andrea,Ica,84.47,87009,9103,Generica
2022-2023,8/7/2024,15:56,Formulario Registro Inspeccion Uva,Ica,Guadalupe,False,Perú,Ica,ASIA NORTE,,First Inspection,1091487:54:00,VERDEJO,10,,Pass_Pasar,390,16,150,Yes / Si,145.75,16,0,,29,28.5,456,1,10.9,,,,,1,0.64,,,,,2428,,,,,,,,,,,5/7/2024,Ica,Lote 26,Andenes de Andrea,Ica,84.47,87009,9103,Generica
2022-2023,8/7/2024,15:22,Formulario Registro Inspeccion Uva,Ica,Gloria A.,False,Perú,Ica,ASIA NORTE,,First Inspection,1091463:19:00,VERDEJO,10,,Pass_Pasar,390,16,160,Yes / Si,145.5625,15,1,140.0,28,27.5,440,1,11.8,,,,,1,0.63,,,,,2428,,,,,,,,,,,4/7/2024,Ica,Lote 26,Andenes de Andrea,Ica,84.47,87009,9103,Generica
2022-2023,8/7/2024,15:24,Formulario Registro Inspeccion Uva,Ica,Gloria A.,False,Perú,Ica,ASIA NORTE,,First Inspection,1091463:40:00,VERDEJO,10,,Pass_Pasar,200,10,145,Yes / Si,143.2,9,1,140.0,29,27,270,1,10.5,,,,,0,,,,,,2428,,,,,,,,,,,4/7/2024,Ica,Lote 26,Andenes de Andrea,Ica,84.47,87009,9103,Generica
2022-2023,9/7/2024,15:33,Formulario Registro Inspeccion Uva,Pisco,Gloria A.,False,Perú,Pisco,ASIA NORTE,,First Inspection,1091557:59:00,VERDEJO,6,,Pass_Pasar,390,16,146,Yes / Si,142.3125,14,2,140.0,45,44.5,712,1,10.4,,,,,1,1.06,,,,,2428,,,,,,,,,,,8/7/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9102,Generica
2022-2023,9/7/2024,15:40,Formulario Registro Inspeccion Uva,Pisco,Gloria A.,False,Perú,Pisco,ASIA NORTE,,First Inspection,1091558:50:00,VERDEJO,6,,Pass_Pasar,225,10,149,Yes / Si,143.4,7,3,140.0,49,48,480,1,11.5,,,,,1,1.1,,,,,2428,,,,,,,,,,,8/7/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9102,Generica
2022-2023,9/7/2024,12:16,Formulario Registro Inspeccion Uva,Ica,Guadalupe,False,Perú,Ica,ASIA CENTRO,No,First Inspection,1091483:22:00,MERLOT,7,,Pass_Pasar,236,8,150,Yes / Si,144.5,7,1,138.0,39,37.5,300,1,14.8,,,,,1,1.29,,,,,2428,,,,,,,,,,,5/7/2024,Ica,Lote 24,Andenes de Andrea,Ica,151.43,87007,9100,Generica
2022-2023,9/7/2024,12:18,Formulario Registro Inspeccion Uva,Ica,Guadalupe,False,Perú,Ica,ASIA CENTRO,Yes / Si,First Inspection,1091483:52:00,MERLOT,7,Singapur,Pass_Pasar,23,2,142,Yes / Si,141.5,2,0,,54,52.5,105,1,14.7,,,,,1,1.61,,,,,2428,,,,,,,,,,,5/7/2024,Ica,Lote 24,Andenes de Andrea,Ica,151.43,87007,9099,Generica
2022-2023,9/7/2024,12:19,Formulario Registro Inspeccion Uva,Ica,Guadalupe,True,Perú,Ica,ASIA CENTRO,Yes / Si,First Inspection,1091555:54:00,AIREN,1,Singapur,Pass_Pasar,75,5,150,Yes / Si,147,5,0,,31,30.5,152.5,1,13.3,,,,,1,0.9,,,,,2428,,,,,,,,,,,8/7/2024,Ica,Lote 26,Andenes de Andrea,Ica,84.47,87009,9100,Generica
2022-2023,9/7/2024,15:32,Formulario Registro Inspeccion Uva,Ica,Guadalupe,False,Perú,Ica,ASIA CENTRO,Yes / Si,First Inspection,1091557:23:00,MERLOT,13,Singapur,Pass_Pasar,240,6,146,Yes / Si,142.666667,6,0,,34,33,198,1,12.4,,,,,1,1.07,,,,,2428,,,,,,,,,,,8/7/2024,Ica,Lote 37,Tierra Linda,Ica,31.63,87020,9100,Generica
2022-2023,9/7/2024,15:36,Formulario Registro Inspeccion Uva,Ica,Guadalupe,True,Perú,Ica,ASIA CENTRO,Yes / Si,First Inspection,1091557:42:00,MERLOT,13,Singapur,Pass_Pasar,8,2,142,Yes / Si,142,2,0,,53,51.5,103,1,12.9,,,,,1,1.14,,,,,2428,,,,,,,,,,,8/7/2024,Ica,Lote 37,Tierra Linda,Ica,31.63,87020,9099,Generica
2022-2023,9/7/2024,15:52,Formulario Registro Inspeccion Uva,Ica,Guadalupe,True,Perú,Ica,ASIA CENTRO,Yes / Si,First Inspection,1091558:18:00,VERDEJO,6,Singapur,Pass_Pasar,240,10,146,Yes / Si,143.3,10,0,,34,33.5,335,1,11.1,,,,,1,0.85,,,,,2428,,,,,,,,,,,8/7/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9100,Generica
2022-2023,9/7/2024,17:05,Formulario Registro Inspeccion Uva,Ica,Guadalupe,False,Perú,Ica,ASIA NORTE,,First Inspection,1091558:47:00,VERDEJO,7,,Pass_Pasar,390,16,154,Yes / Si,145.125,15,1,136.0,31,30,480,1,11.5,,,,,1,0.94,,,,,2428,,,,,,,,,,,8/7/2024,Ica,Lote 16,Agricultores Unidos,Ica,19.49,86999,9103,Generica
2022-2023,9/7/2024,17:17,Formulario Registro Inspeccion Uva,Ica,Guadalupe,False,Perú,Ica,ASIA NORTE,,First Inspection,1091557:55:00,VERDEJO,7,,Pass_Pasar,200,5,144,Yes / Si,142.6,4,1,140.0,46,45.5,227.5,1,10.3,,,,,1,1.01,,,,,2428,,,,,,,,,,,8/7/2024,Ica,Lote 16,Agricultores Unidos,Ica,19.49,86999,9102,Generica
2022-2023,11/7/2024,16:06,Formulario Registro Inspeccion Uva,Ica,Guadalupe,True,Perú,Ica,ASIA CENTRO,Yes / Si,First Inspection,1091630:56:00,AIREN,1,Singapur,Pass_Pasar,100,6,143,No,,,,,41,39.5,237,1,12.8,,,,,1,0.51,,,,,2428,,,,,,,,,,,11/7/2024,Ica,Lote 34,Agricultores del Sol,Ica,249.17,87017,9100,Generica
2022-2023,11/7/2024,16:03,Formulario Registro Inspeccion Uva,Ica,Guadalupe,True,Perú,Ica,ASIA CENTRO,Yes / Si,First Inspection,1091630:40:00,PINOT,1,Singapur,Pass_Pasar,138,6,143,Yes / Si,142.666667,6,0,,38,37.5,225,1,13.6,,,,,1,0.9,,,,,2428,,,,,,,,,,,11/7/2024,Ica,Lote 34,Agricultores del Sol,Ica,249.17,87017,9100,Generica
2022-2023,12/7/2024,13:07,Formulario Registro Inspeccion Uva,Ica,Guadalupe,False,Perú,Ica,ASIA CENTRO,No,First Inspection,1091626:34:00,VERDEJO,7,,Pass_Pasar,100,6,145,Yes / Si,142,5,1,139.0,40,38,228,1,10.2,,,,,1,1.23,,,,,2428,,,,,,,,,,,11/7/2024,Ica,Lote 15,Agricultores Unidos,Ica,62.09,86998,9099,Generica
2022-2023,12/7/2024,12:30,Formulario Registro Inspeccion Uva,Ica,Gloria A.,False,Perú,Ica,ASIA CENTRO,Yes / Si,First Inspection,1091626:58:00,VERDEJO,4,HongKong,Pass_Pasar,195,11,150,Yes / Si,143.363636,11,0,,47,46.5,511.5,1,9.6,,,,,1,0.89,,,,,2428,,,,,,,,,,,11/7/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9099,Generica
2022-2023,12/7/2024,13:08,Formulario Registro Inspeccion Uva,Ica,Guadalupe,True,Perú,Ica,ASIA CENTRO,No,First Inspection,1091626:57:00,VERDEJO,4,,Pass_Pasar,390,16,151,Yes / Si,143.375,15,1,140.0,37,37,592,1,11.5,,,,,1,0.98,,,,,2428,,,,,,,,,,,11/7/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9100,Generica
2022-2023,12/7/2024,13:08,Formulario Registro Inspeccion Uva,Ica,Guadalupe,True,Perú,Ica,ASIA CENTRO,No,First Inspection,1091626:57:00,VERDEJO,4,,Pass_Pasar,390,16,151,Yes / Si,143.375,15,1,140.0,37,37,592,1,11.5,,,,,1,0.98,,,,,2428,,,,,,,,,,,11/7/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9100,Generica
2022-2023,12/7/2024,12:36,Formulario Registro Inspeccion Uva,Pisco,Gloria A.,True,Perú,Pisco,ASIA CENTRO,Yes / Si,Second Inspection,1091627:44:00,VERDEJO,4,HongKong,Pass_Pasar,200,10,145,Yes / Si,143.7,10,0,,51,48.5,485,1,9.6,,,,,1,0.89,,,,,2428,,,,,,,,,,,11/7/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9099,Generica
2022-2023,12/7/2024,13:10,Formulario Registro Inspeccion Uva,Ica,Guadalupe,True,Perú,Ica,ASIA CENTRO,No,First Inspection,1091627:47:00,VERDEJO,4,,Pass_Pasar,390,16,148,Yes / Si,144.125,14,2,140.0,39,38,608,1,12.2,,,,,0,,,,,,2428,,,,,,,,,,,11/7/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9100,Generica
2022-2023,16/7/2024,16:35,Formulario Registro Inspeccion Uva,Pisco,Gloria A.,True,Perú,Pisco,ASIA CENTRO,Yes / Si,First Inspection,1091726:43:00,VERDEJO,4,Singapur,Pass_Pasar,210,8,146,No,,,,,52,51,408,1,11.1,,,,,1,0.85,,,,,2429,,,,,,,,,,,15/7/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9099,Generica
2022-2023,16/7/2024,16:36,Formulario Registro Inspeccion Uva,Pisco,Gloria A.,False,Perú,Pisco,ASIA CENTRO,Yes / Si,First Inspection,1091727:20:00,AIREN,4,HongKong,Pass_Pasar,390,10,146,No,,,,,64,62,620,1,12.3,,,,,1,0.93,,,,,2429,,,,,,,,,,,15/7/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9099,Generica
